TIME, ID, ST_B, ST_A, chunking, no_chunk, complete, shutdonw, fail
3.877073, 12, 1, 1, 0, 1, 0, 0, 0
19.716812, 97, 1, 1, 0, 2, 0, 0, 0
38.985496, 98, 1, 1, 0, 3, 0, 0, 0
47.381273, 5, 1, 1, 0, 4, 0, 0, 0
52.235209, 83, 1, 1, 0, 5, 0, 0, 0
56.601929, 58, 1, 1, 0, 6, 0, 0, 0
62.394257, 36, 1, 1, 0, 7, 0, 0, 0
64.965557, 53, 1, 1, 0, 8, 0, 0, 0
65.649821, 45, 1, 1, 0, 9, 0, 0, 0
66.304537, 14, 1, 1, 0, 10, 0, 0, 0
70.119385, 18, 1, 1, 0, 11, 0, 0, 0
72.009609, 27, 1, 1, 0, 12, 0, 0, 0
75.635617, 54, 1, 1, 0, 13, 0, 0, 0
77.441796, 95, 1, 1, 0, 14, 0, 0, 0
77.814765, 1, 1, 1, 0, 15, 0, 0, 0
77.900491, 52, 1, 1, 0, 16, 0, 0, 0
78.060963, 16, 1, 1, 0, 17, 0, 0, 0
78.983950, 68, 1, 1, 0, 18, 0, 0, 0
80.829459, 44, 1, 1, 0, 19, 0, 0, 0
81.181565, 84, 1, 1, 0, 20, 0, 0, 0
81.304042, 17, 1, 1, 0, 21, 0, 0, 0
82.395430, 72, 1, 1, 0, 22, 0, 0, 0
83.520141, 21, 1, 1, 0, 23, 0, 0, 0
84.527817, 9, 1, 1, 0, 24, 0, 0, 0
84.961158, 55, 1, 1, 0, 25, 0, 0, 0
85.759692, 3, 1, 1, 0, 26, 0, 0, 0
87.875024, 40, 1, 1, 0, 27, 0, 0, 0
87.945491, 4, 1, 1, 0, 28, 0, 0, 0
88.897940, 48, 1, 1, 0, 29, 0, 0, 0
88.973998, 71, 1, 1, 0, 30, 0, 0, 0
89.604241, 35, 1, 1, 0, 31, 0, 0, 0
91.281726, 70, 1, 1, 0, 32, 0, 0, 0
91.714517, 11, 1, 1, 0, 33, 0, 0, 0
92.158828, 85, 1, 1, 0, 34, 0, 0, 0
92.557262, 13, 1, 1, 0, 35, 0, 0, 0
92.562540, 19, 1, 1, 0, 36, 0, 0, 0
92.701110, 62, 1, 1, 0, 37, 0, 0, 0
94.877099, 76, 1, 1, 0, 38, 0, 0, 0
95.141024, 42, 1, 1, 0, 39, 0, 0, 0
96.187213, 87, 1, 1, 0, 40, 0, 0, 0
96.231477, 49, 1, 1, 0, 41, 0, 0, 0
96.565884, 33, 1, 1, 0, 42, 0, 0, 0
97.406475, 86, 1, 1, 0, 43, 0, 0, 0
97.537206, 64, 1, 1, 0, 44, 0, 0, 0
98.269247, 66, 1, 1, 0, 45, 0, 0, 0
98.766633, 79, 1, 1, 0, 46, 0, 0, 0
99.104567, 2, 1, 1, 0, 47, 0, 0, 0
99.360673, 60, 1, 1, 0, 48, 0, 0, 0
99.620703, 46, 1, 1, 0, 49, 0, 0, 0
100.410155, 25, 1, 1, 0, 50, 0, 0, 0
100.719270, 34, 1, 1, 0, 51, 0, 0, 0
101.168537, 67, 1, 1, 0, 52, 0, 0, 0
101.240770, 7, 1, 1, 0, 53, 0, 0, 0
101.319947, 51, 1, 1, 0, 54, 0, 0, 0
102.644182, 57, 1, 1, 0, 55, 0, 0, 0
102.747925, 75, 1, 1, 0, 56, 0, 0, 0
102.888610, 63, 1, 1, 0, 57, 0, 0, 0
103.329931, 6, 1, 1, 0, 58, 0, 0, 0
104.721144, 12, 1, 1, 0, 58, 0, 0, 0
105.851012, 80, 1, 1, 0, 59, 0, 0, 0
106.557100, 69, 1, 1, 0, 60, 0, 0, 0
107.593617, 91, 1, 1, 0, 61, 0, 0, 0
107.949771, 41, 1, 1, 0, 62, 0, 0, 0
108.833121, 29, 1, 1, 0, 63, 0, 0, 0
109.056431, 92, 1, 1, 0, 64, 0, 0, 0
109.254949, 37, 1, 1, 0, 65, 0, 0, 0
109.417001, 20, 1, 1, 0, 66, 0, 0, 0
109.539667, 15, 1, 1, 0, 67, 0, 0, 0
109.624118, 59, 1, 1, 0, 68, 0, 0, 0
110.063410, 22, 1, 1, 0, 69, 0, 0, 0
110.844402, 38, 1, 1, 0, 70, 0, 0, 0
110.869146, 93, 1, 1, 0, 71, 0, 0, 0
110.958807, 26, 1, 1, 0, 72, 0, 0, 0
110.959625, 96, 1, 1, 0, 73, 0, 0, 0
111.669183, 28, 1, 1, 0, 74, 0, 0, 0
112.383860, 97, 1, 1, 0, 74, 0, 0, 0
112.587698, 30, 1, 1, 0, 75, 0, 0, 0
113.143253, 99, 1, 1, 0, 76, 0, 0, 0
113.965233, 89, 1, 1, 0, 77, 0, 0, 0
113.997608, 31, 1, 1, 0, 78, 0, 0, 0
114.408565, 39, 1, 1, 0, 79, 0, 0, 0
116.717707, 65, 1, 1, 0, 80, 0, 0, 0
118.116513, 8, 1, 1, 0, 81, 0, 0, 0
118.288091, 10, 1, 1, 0, 82, 0, 0, 0
119.918799, 47, 1, 1, 0, 83, 0, 0, 0
120.688559, 24, 1, 1, 0, 84, 0, 0, 0
122.001095, 32, 1, 1, 0, 85, 0, 0, 0
122.959142, 82, 1, 1, 0, 86, 0, 0, 0
123.983830, 43, 1, 1, 0, 87, 0, 0, 0
130.307466, 56, 1, 1, 0, 88, 0, 0, 0
133.696632, 88, 1, 1, 0, 89, 0, 0, 0
134.250761, 48, 1, 1, 0, 89, 0, 0, 0
134.909578, 74, 1, 1, 0, 90, 0, 0, 0
135.058076, 97, 1, 1, 0, 90, 0, 0, 0
137.005446, 77, 1, 1, 0, 91, 0, 0, 0
137.257520, 81, 1, 1, 0, 92, 0, 0, 0
137.571325, 6, 1, 1, 0, 92, 0, 0, 0
137.587532, 94, 1, 1, 0, 93, 0, 0, 0
137.641852, 36, 1, 1, 0, 93, 0, 0, 0
137.818728, 50, 1, 1, 0, 94, 0, 0, 0
140.415506, 73, 1, 1, 0, 95, 0, 0, 0
143.317275, 14, 1, 1, 0, 95, 0, 0, 0
145.779115, 78, 1, 1, 0, 96, 0, 0, 0
146.871299, 2, 1, 1, 0, 96, 0, 0, 0
150.871626, 4, 1, 1, 0, 96, 0, 0, 0
152.665917, 83, 1, 1, 0, 96, 0, 0, 0
154.204442, 5, 1, 1, 0, 96, 0, 0, 0
154.529780, 58, 1, 1, 0, 96, 0, 0, 0
154.723795, 57, 1, 1, 0, 96, 0, 0, 0
154.791503, 62, 1, 1, 0, 96, 0, 0, 0
155.952485, 1, 1, 1, 0, 96, 0, 0, 0
156.169971, 1, 1, 4, 0, 95, 0, 0, 1
157.973240, 87, 1, 1, 0, 95, 0, 0, 1
162.073439, 90, 1, 1, 0, 96, 0, 0, 1
162.580309, 21, 1, 1, 0, 96, 0, 0, 1
166.839858, 11, 1, 1, 0, 96, 0, 0, 1
167.573122, 49, 1, 1, 0, 96, 0, 0, 1
168.241618, 25, 1, 1, 0, 96, 0, 0, 1
168.946291, 19, 1, 1, 0, 96, 0, 0, 1
169.126674, 23, 1, 1, 0, 97, 0, 0, 1
169.427844, 40, 1, 1, 0, 97, 0, 0, 1
172.556270, 94, 1, 1, 0, 97, 0, 0, 1
173.189740, 29, 1, 1, 0, 97, 0, 0, 1
175.098828, 44, 1, 1, 0, 97, 0, 0, 1
175.784310, 45, 1, 1, 0, 97, 0, 0, 1
176.626705, 3, 1, 1, 0, 97, 0, 0, 1
176.935270, 68, 1, 1, 0, 97, 0, 0, 1
178.644813, 95, 1, 1, 0, 97, 0, 0, 1
178.892019, 13, 1, 1, 0, 97, 0, 0, 1
180.246821, 98, 1, 1, 0, 97, 0, 0, 1
181.709286, 17, 1, 1, 0, 97, 0, 0, 1
182.537103, 71, 1, 1, 0, 97, 0, 0, 1
182.975124, 64, 1, 1, 0, 97, 0, 0, 1
183.229521, 35, 1, 1, 0, 97, 0, 0, 1
183.408246, 47, 1, 1, 0, 97, 0, 0, 1
184.969781, 66, 1, 1, 0, 97, 0, 0, 1
185.911436, 46, 1, 1, 0, 97, 0, 0, 1
186.938332, 69, 1, 1, 0, 97, 0, 0, 1
189.163315, 18, 1, 1, 0, 97, 0, 0, 1
190.290896, 53, 1, 1, 0, 97, 0, 0, 1
190.381534, 54, 1, 1, 0, 97, 0, 0, 1
190.922827, 56, 1, 1, 0, 97, 0, 0, 1
192.951952, 93, 1, 1, 0, 97, 0, 0, 1
194.669091, 41, 1, 1, 0, 97, 0, 0, 1
195.125013, 33, 1, 1, 0, 97, 0, 0, 1
196.527772, 30, 1, 1, 0, 97, 0, 0, 1
196.944658, 27, 1, 1, 0, 97, 0, 0, 1
197.821179, 67, 1, 1, 0, 97, 0, 0, 1
198.289468, 28, 1, 1, 0, 97, 0, 0, 1
198.746594, 96, 1, 1, 0, 97, 0, 0, 1
198.820945, 84, 1, 1, 0, 97, 0, 0, 1
199.727186, 74, 1, 1, 0, 97, 0, 0, 1
201.799814, 42, 1, 1, 0, 97, 0, 0, 1
202.509230, 24, 1, 1, 0, 97, 0, 0, 1
203.097626, 37, 1, 1, 0, 97, 0, 0, 1
205.033649, 26, 1, 1, 0, 97, 0, 0, 1
208.203861, 72, 1, 1, 0, 97, 0, 0, 1
208.424288, 79, 1, 1, 0, 97, 0, 0, 1
209.090757, 61, 1, 1, 0, 98, 0, 0, 1
210.307839, 55, 1, 1, 0, 98, 0, 0, 1
210.641305, 50, 1, 1, 0, 98, 0, 0, 1
211.370389, 43, 1, 1, 0, 98, 0, 0, 1
212.456402, 90, 1, 1, 0, 98, 0, 0, 1
213.576256, 40, 1, 1, 0, 98, 0, 0, 1
215.382620, 39, 1, 1, 0, 98, 0, 0, 1
218.706949, 76, 1, 1, 0, 98, 0, 0, 1
218.954564, 51, 1, 1, 0, 98, 0, 0, 1
219.085207, 73, 1, 1, 0, 98, 0, 0, 1
220.483101, 48, 1, 1, 0, 98, 0, 0, 1
220.497012, 6, 1, 1, 0, 98, 0, 0, 1
221.702383, 86, 1, 1, 0, 98, 0, 0, 1
223.523306, 12, 1, 1, 0, 98, 0, 0, 1
225.157078, 75, 1, 1, 0, 98, 0, 0, 1
225.411225, 59, 1, 1, 0, 98, 0, 0, 1
225.673826, 1, 1, 1, 0, 99, 0, 0, 0
225.843152, 20, 1, 1, 0, 99, 0, 0, 0
226.300974, 69, 1, 1, 0, 99, 0, 0, 0
226.388731, 91, 1, 1, 0, 99, 0, 0, 0
226.499900, 34, 1, 1, 0, 99, 0, 0, 0
227.193421, 69, 1, 4, 0, 98, 0, 0, 1
227.524168, 99, 1, 1, 0, 98, 0, 0, 1
228.276256, 98, 1, 1, 0, 98, 0, 0, 1
230.866136, 16, 1, 1, 0, 98, 0, 0, 1
231.053462, 89, 1, 1, 0, 98, 0, 0, 1
231.590965, 38, 1, 1, 0, 98, 0, 0, 1
231.612686, 60, 1, 1, 0, 98, 0, 0, 1
232.482941, 7, 1, 1, 0, 98, 0, 0, 1
233.673349, 52, 1, 1, 0, 98, 0, 0, 1
233.800527, 85, 1, 1, 0, 98, 0, 0, 1
235.029794, 88, 1, 1, 0, 98, 0, 0, 1
235.298204, 27, 1, 1, 0, 98, 0, 0, 1
235.806990, 58, 1, 1, 0, 98, 0, 0, 1
237.401591, 9, 1, 1, 0, 98, 0, 0, 1
237.726270, 70, 1, 1, 0, 98, 0, 0, 1
238.864401, 82, 1, 1, 0, 98, 0, 0, 1
238.890247, 15, 1, 1, 0, 98, 0, 0, 1
239.412420, 62, 1, 1, 0, 98, 0, 0, 1
240.986976, 97, 1, 1, 0, 98, 0, 0, 1
242.672696, 77, 1, 1, 0, 98, 0, 0, 1
243.961164, 2, 1, 1, 0, 98, 0, 0, 1
244.918579, 65, 1, 1, 0, 98, 0, 0, 1
245.841320, 22, 1, 1, 0, 98, 0, 0, 1
249.032814, 81, 1, 1, 0, 98, 0, 0, 1
249.381594, 29, 1, 1, 0, 98, 0, 0, 1
249.654927, 54, 1, 1, 0, 98, 0, 0, 1
249.899879, 39, 1, 1, 0, 98, 0, 0, 1
251.037223, 21, 1, 1, 0, 98, 0, 0, 1
253.026744, 87, 1, 1, 0, 98, 0, 0, 1
255.037190, 5, 1, 1, 0, 98, 0, 0, 1
260.494593, 68, 1, 1, 0, 98, 0, 0, 1
261.583089, 46, 1, 1, 0, 98, 0, 0, 1
262.531980, 14, 1, 1, 0, 98, 0, 0, 1
263.455490, 32, 1, 1, 0, 98, 0, 0, 1
264.006546, 95, 1, 1, 0, 98, 0, 0, 1
267.221911, 56, 1, 1, 0, 98, 0, 0, 1
267.238652, 36, 1, 1, 0, 98, 0, 0, 1
267.820205, 4, 1, 1, 0, 98, 0, 0, 1
268.132598, 92, 1, 1, 0, 98, 0, 0, 1
269.752705, 57, 1, 1, 0, 98, 0, 0, 1
269.854381, 24, 1, 1, 0, 98, 0, 0, 1
270.825684, 80, 1, 1, 0, 98, 0, 0, 1
271.344015, 11, 1, 1, 0, 98, 0, 0, 1
272.203355, 25, 1, 1, 0, 98, 0, 0, 1
275.093349, 31, 1, 1, 0, 98, 0, 0, 1
275.345326, 42, 1, 1, 0, 98, 0, 0, 1
275.887024, 13, 1, 1, 0, 98, 0, 0, 1
278.914460, 47, 1, 1, 0, 98, 0, 0, 1
279.354523, 20, 1, 1, 0, 98, 0, 0, 1
280.442733, 8, 1, 1, 0, 98, 0, 0, 1
280.495997, 78, 1, 1, 0, 98, 0, 0, 1
280.550089, 45, 1, 1, 0, 98, 0, 0, 1
280.854419, 49, 1, 1, 0, 98, 0, 0, 1
281.660766, 10, 1, 1, 0, 98, 0, 0, 1
281.841151, 63, 1, 1, 0, 98, 0, 0, 1
282.048160, 19, 1, 1, 0, 98, 0, 0, 1
282.157465, 3, 1, 1, 0, 98, 0, 0, 1
285.249744, 66, 1, 1, 0, 98, 0, 0, 1
287.890309, 79, 1, 1, 0, 98, 0, 0, 1
289.687763, 35, 1, 1, 0, 98, 0, 0, 1
290.983049, 93, 1, 1, 0, 98, 0, 0, 1
291.217786, 67, 1, 1, 0, 98, 0, 0, 1
291.966155, 50, 1, 1, 0, 98, 0, 0, 1
292.670321, 27, 1, 1, 0, 98, 0, 0, 1
292.747055, 99, 1, 1, 0, 98, 0, 0, 1
294.154778, 73, 1, 1, 0, 98, 0, 0, 1
295.079231, 37, 1, 1, 0, 98, 0, 0, 1
296.895208, 30, 1, 1, 0, 98, 0, 0, 1
299.412495, 16, 1, 1, 0, 98, 0, 0, 1
302.280750, 96, 1, 1, 0, 98, 0, 0, 1
305.548363, 64, 1, 1, 0, 98, 0, 0, 1
306.124214, 90, 1, 1, 0, 98, 0, 0, 1
306.482406, 59, 1, 1, 0, 98, 0, 0, 1
306.860799, 94, 1, 1, 0, 98, 0, 0, 1
308.627767, 74, 1, 1, 0, 98, 0, 0, 1
309.801763, 18, 1, 1, 0, 98, 0, 0, 1
311.133456, 41, 1, 1, 0, 98, 0, 0, 1
311.290758, 6, 1, 1, 0, 98, 0, 0, 1
311.820933, 72, 1, 1, 0, 98, 0, 0, 1
311.825553, 44, 1, 1, 0, 98, 0, 0, 1
311.901436, 52, 1, 1, 0, 98, 0, 0, 1
315.124895, 62, 1, 1, 0, 98, 0, 0, 1
317.514785, 85, 1, 1, 0, 98, 0, 0, 1
317.606787, 51, 1, 1, 0, 98, 0, 0, 1
317.722317, 1, 1, 1, 0, 98, 0, 0, 1
318.247003, 86, 1, 1, 0, 98, 0, 0, 1
318.736853, 61, 1, 1, 0, 98, 0, 0, 1
319.208852, 9, 1, 1, 0, 98, 0, 0, 1
319.487877, 40, 1, 1, 0, 98, 0, 0, 1
320.135402, 70, 1, 1, 0, 98, 0, 0, 1
321.083447, 43, 1, 1, 0, 98, 0, 0, 1
321.337654, 98, 1, 1, 0, 98, 0, 0, 1
323.662792, 17, 1, 1, 0, 98, 0, 0, 1
325.729886, 53, 1, 1, 0, 98, 0, 0, 1
327.008324, 83, 1, 1, 0, 98, 0, 0, 1
328.837351, 88, 1, 1, 0, 98, 0, 0, 1
329.026695, 58, 1, 1, 0, 98, 0, 0, 1
330.234574, 71, 1, 1, 0, 98, 0, 0, 1
331.300121, 28, 1, 1, 0, 98, 0, 0, 1
331.398539, 81, 1, 1, 0, 98, 0, 0, 1
331.857562, 84, 1, 1, 0, 98, 0, 0, 1
332.395794, 69, 1, 1, 0, 99, 0, 0, 0
332.455970, 39, 1, 1, 0, 99, 0, 0, 0
333.451998, 26, 1, 1, 0, 99, 0, 0, 0
333.903300, 82, 1, 1, 0, 99, 0, 0, 0
334.306110, 77, 1, 1, 0, 99, 0, 0, 0
334.785347, 32, 1, 1, 0, 99, 0, 0, 0
335.361229, 34, 1, 1, 0, 99, 0, 0, 0
335.425157, 55, 1, 1, 0, 99, 0, 0, 0
335.657715, 76, 1, 1, 0, 99, 0, 0, 0
337.290011, 75, 1, 1, 0, 99, 0, 0, 0
338.589471, 33, 1, 1, 0, 99, 0, 0, 0
338.909138, 54, 1, 1, 0, 99, 0, 0, 0
339.788450, 48, 1, 1, 0, 99, 0, 0, 0
340.001419, 65, 1, 1, 0, 99, 0, 0, 0
340.008390, 25, 1, 1, 0, 99, 0, 0, 0
343.740001, 11, 1, 1, 0, 99, 0, 0, 0
343.923455, 99, 1, 1, 0, 99, 0, 0, 0
344.939003, 21, 1, 1, 0, 99, 0, 0, 0
345.038756, 14, 1, 1, 0, 99, 0, 0, 0
345.924633, 15, 1, 1, 0, 99, 0, 0, 0
346.984176, 95, 1, 1, 0, 99, 0, 0, 0
346.985887, 23, 1, 1, 0, 99, 0, 0, 0
348.022500, 38, 1, 1, 0, 99, 0, 0, 0
348.187461, 60, 1, 1, 0, 99, 0, 0, 0
353.670743, 29, 1, 1, 0, 99, 0, 0, 0
355.123568, 12, 1, 1, 0, 99, 0, 0, 0
355.178874, 31, 1, 1, 0, 99, 0, 0, 0
355.399230, 46, 1, 1, 0, 99, 0, 0, 0
356.302415, 47, 1, 1, 0, 99, 0, 0, 0
357.335688, 57, 1, 1, 0, 99, 0, 0, 0
357.608689, 89, 1, 1, 0, 99, 0, 0, 0
357.775213, 97, 1, 1, 0, 99, 0, 0, 0
358.720808, 91, 1, 1, 0, 99, 0, 0, 0
359.669487, 68, 1, 1, 0, 99, 0, 0, 0
361.014911, 8, 1, 1, 0, 99, 0, 0, 0
363.612698, 66, 1, 1, 0, 99, 0, 0, 0
364.940464, 17, 1, 1, 0, 99, 0, 0, 0
